"ID","Name","Rating","Price","Latitude","Longitude"
1,"Sandra's Next Generation",4.5,1,41.3,-72.9395
2,"August",4.5,1,41.3158,-72.9096
3,"The Taste Of Brazil",4.5,1,41.3064,-72.9253
4,"One 6 Three",4.5,1,41.3211,-72.909
5,"Da Legna",4.5,1,41.3134,-72.9135
6,"Pitaziki Mediterranean Grill",4.5,1,41.3064,-72.9273
7,"Caseus Fromagerie & Bistro",4,1,41.3131,-72.9215
8,"Junzi Kitchen",4.5,1,41.3112,-72.9303
9,"Frank Pepe Pizzeria Napoletana",4,1,41.3029,-72.9169
10,"Prime 16",4,1,41.3064,-72.9273
11,"Shell & Bones Oyster Bar & Grill",4,1,41.2811,-72.9304
12,"Elm City Social",4,1,41.307,-72.9292
13,"Barracuda Bistro & Bar",4,1,41.3087,-72.9339
14,"Basil Restaurant",4,1,41.3127,-72.9333
15,"Zinc New Haven",4,1,41.3068,-72.928
16,"Crepes Choupette",4.5,1,41.311,-72.9224
17,"Ordinary",4,1,41.3071,-72.9285
18,"Tikkaway Fresh Indian Grill",4.5,1,41.3055,-72.924
19,"Skappo",4.5,1,41.304,-72.9246
20,"Barcelona - New Haven",4,1,41.3058,-72.9274
21,"Pho Ketkeo",4,1,41.3043,-72.9284
22,"Three Sheets",4.5,1,41.3118,-72.9333
23,"Soul de Cuba Cafe",4,1,41.3066,-72.9309
24,"Oak Haven Table & Bar",4,1,41.3148,-72.9111
25,"Chao Restaurant",4,1,41.3127,-72.9219
26,"Mezcal",4,1,41.3166,-72.9089
27,"C'viche 181",4,1,41.3065,-72.9232
28,"Pho & Spice",3.5,1,41.3046,-72.9251
29,"Bull & Swine",3.5,1,41.3153,-72.9099
30,"Jeera Thai",4,1,41.3055,-72.9289
31,"Rubamba",4,1,41.3067,-72.9309
32,"Meat & Co",4,1,41.3044,-72.9262
33,"Mamoun's Falafel Restaurant",4,1,41.3103,-72.9344
34,"The Pantry",4,1,41.3164,-72.909
35,"Rice Pot Thai Cuisine",4,1,41.3164,-72.9083
36,"Dozo",4.5,1,41.3341,-72.9768
37,"The Farm Belly",4,1,41.3065,-72.9178
38,"Atelier Florian",4,1,41.3084,-72.9333
39,"Cave A' Vin",4,1,41.3155,-72.9099
40,"Fornarelli's Ristorante",4,1,41.3049,-72.9242
41,"Naan Kabab Cuisine",4.5,1,41.3199,-72.8721
42,"New Haven Taste of China",4,1,41.3065,-72.928
43,"Ricky D's Rib Shack",4.5,1,41.3226,-72.9288
44,"Johnny Salami's",4.5,1,41.2939,-72.9214
45,"Zoi's On Orange",4.5,1,41.3101,-72.921
46,"York Street Noodle House",3.5,1,41.3081,-72.9322
47,"Caffe Bravo",4,1,41.3223,-72.9119
48,"Patricia's Restaurant",4,1,41.3132,-72.9334
49,"Cask Republic",3.5,1,41.3052,-72.9274
50,"Louis' Lunch",3.5,1,41.3063,-72.93
51,"Tarry Lodge",3.5,1,41.3112,-72.9321
