rid,label
sandras-next-generation-new-haven,Soul Food
sandras-next-generation-new-haven,Southern
sandras-next-generation-new-haven,Chicken Wings
mecha-noodle-bar-new-haven,Beer Bar
mecha-noodle-bar-new-haven,Wine Bars
mecha-noodle-bar-new-haven,Ramen
august-new-haven-3,Wine Bars
august-new-haven-3,American (New)
pitaziki-mediterranean-grill-new-haven,Mediterranean
house-of-naan-indian-kitchen-and-bar-new-haven,Indian
house-of-naan-indian-kitchen-and-bar-new-haven,Bars
da-legna-new-haven,Pizza
da-legna-new-haven,Italian
da-legna-new-haven,Bars
caseus-fromagerie-and-bistro-new-haven,American (New)
caseus-fromagerie-and-bistro-new-haven,Cheese Shops
frank-pepe-pizzeria-napoletana-new-haven,Pizza
frank-pepe-pizzeria-napoletana-new-haven,Italian
crepes-choupette-new-haven-6,Creperies
junzi-kitchen-new-haven,Chinese
junzi-kitchen-new-haven,Fast Food
junzi-kitchen-new-haven,Asian Fusion
the-taste-of-brazil-new-haven,Steakhouses
the-taste-of-brazil-new-haven,Brazilian
barracuda-bistro-and-bar-new-haven,American (New)
barracuda-bistro-and-bar-new-haven,Latin American
barracuda-bistro-and-bar-new-haven,Cocktail Bars
prime-16-new-haven,American (New)
prime-16-new-haven,Burgers
prime-16-new-haven,Pubs
skappo-new-haven,Italian
la-cosinita-mexican-cafe-new-haven,Mexican
louis-lunch-new-haven,Burgers
louis-lunch-new-haven,Salad
patricias-restaurant-new-haven,Diners
116-crown-new-haven,Wine Bars
116-crown-new-haven,Mediterranean
116-crown-new-haven,Cocktail Bars
shake-shack-new-haven,Burgers
shake-shack-new-haven,Ice Cream & Frozen Yogurt
shake-shack-new-haven,Hot Dogs
york-street-noodle-house-new-haven,Noodles
adrianas-restaurant-and-wine-bar-new-haven,Italian
johnny-salamis-new-haven,American (New)
pho-and-spice-new-haven,Vietnamese
pho-and-spice-new-haven,Thai
pho-and-spice-new-haven,Soup
olea-new-haven-2,Mediterranean
olea-new-haven-2,Spanish
pho-and-spice-new-haven,Vietnamese
pho-and-spice-new-haven,Thai
pho-and-spice-new-haven,Soup
atelier-florian-new-haven,American (New)
atelier-florian-new-haven,Seafood
caffe-bravo-new-haven,Italian
ducs-place-new-haven,Vietnamese
ducs-place-new-haven,Sandwiches
ducs-place-new-haven,Vegan
sallys-apizza-new-haven,Pizza
kitchen-zinc-new-haven-2,Pizza
kitchen-zinc-new-haven-2,Gluten-Free
bar-new-haven,Pizza
bar-new-haven,Bars
bar-new-haven,Dance Clubs
pho-ketkeo-new-haven,Laotian
pho-ketkeo-new-haven,Thai
pho-ketkeo-new-haven,Soup
jordans-hot-dogs-and-mac-new-haven,Hot Dogs
jordans-hot-dogs-and-mac-new-haven,Burgers
jordans-hot-dogs-and-mac-new-haven,Hot Dogs
jordans-hot-dogs-and-mac-new-haven,Burgers
ay-arepa-new-haven,Food Stands
bar-new-haven,Pizza
bar-new-haven,Bars
bar-new-haven,Dance Clubs
fryborg-new-haven,Food Trucks
fryborg-new-haven,American (Traditional)
