rid,name,price,lat,lng,rating
sandras-next-generation-new-haven,Sandra's Next Generation,2,41.300091,-72.939526,4.55
august-new-haven-3,August,2,41.315818,-72.909621,4.648351648351649
pitaziki-mediterranean-grill-new-haven,Pitaziki Mediterranean Grill,1,41.306117,-72.927307,4.57
mecha-noodle-bar-new-haven,Mecha Noodle Bar,2,41.305522,-72.928587,4.12
da-legna-new-haven,Da Legna,2,41.313407,-72.913453,4.39
caseus-fromagerie-and-bistro-new-haven,Caseus Fromagerie & Bistro,2,41.313159,-72.921473,4.2
tikkaway-fresh-indian-grill-new-haven-2,Tikkaway Fresh Indian Grill,1,41.305494,-72.923994,4.53
frank-pepe-pizzeria-napoletana-new-haven,Frank Pepe Pizzeria Napoletana,2,41.302918,-72.916899,4.2
crepes-choupette-new-haven-6,Crepes Choupette,1,41.311040,-72.922425,4.5606060606060606
junzi-kitchen-new-haven,Junzi Kitchen,1,41.311184,-72.930290,4.507692307692308
skappo-new-haven,Skappo,2,41.304037,-72.924941,4.23
the-taste-of-brazil-new-haven,The Taste Of Brazil,2,41.306411,-72.925275,4.54054054054054
barracuda-bistro-and-bar-new-haven,Barracuda Bistro & Bar,2,41.308749,-72.933934,4.21
prime-16-new-haven,Prime 16,2,41.306199,-72.927551,3.94
zinc-new-haven-new-haven-2,Zinc New Haven,3,41.306944,-72.927886,3.98
barcelona-new-haven-new-haven-3,Barcelona - New Haven,3,41.305587,-72.927307,4.19
house-of-naan-indian-kitchen-and-bar-new-haven,House of Naan Indian Kitchen and Bar,3,41.309545,-72.935003,4.9375
one-6-three-new-haven-2,One 6 Three,2,41.321102,-72.909120,4.6
ordinary-new-haven,Ordinary,2,41.307126,-72.928515,4.15
soul-de-cuba-cafe-new-haven-2,Soul de Cuba Cafe,2,41.306641,-72.930915,4.22
elm-city-social-new-haven?search_key=60780,Elm City Social,2,41.307029,-72.929233,3.7
jeera-thai-new-haven?search_key=60780,Jeera Thai,2,41.305436,-72.929039,3.55
rubamba-new-haven?search_key=60780,Rubamba,2,41.306900,-72.930938,3.95
basil-restaurant-new-haven-2?search_key=60780,Basil Restaurant,1,41.312765,-72.933330,3.55
mamouns-falafel-restaurant-new-haven?search_key=60780,Mamoun's Falafel Restaurant,1,41.310302,-72.934506,3.4
three-sheets-new-haven?search_key=60780,Three Sheets,2,41.311751,-72.933302,4.35
mezcal-new-haven?search_key=60780,Mezcal,2,41.316633,-72.908744,4.05
meat-and-co-new-haven?search_key=60780,Meat & Co,2,41.304440,-72.926256,3.85
zois-on-orange-new-haven?search_key=60780,Zoi's On Orange,1,41.310099,-72.920980,4.15
new-haven-taste-of-china-new-haven,New Haven Taste of China,2,41.306542,-72.927952,4.023255813953488
oak-haven-table-and-bar-new-haven,Oak Haven Table & Bar,2,41.314790,-72.911071,3.63
the-pantry-new-haven,The Pantry,2,41.316370,-72.908963,4.04
cave-a-vin-new-haven,Cave A' Vin,2,41.315506,-72.909902,4.2
fornarellis-ristorante-new-haven,Fornarelli's Ristorante,2,41.304910,-72.924214,4.146341463414634
rice-pot-thai-cuisine-new-haven,Rice Pot Thai Cuisine,2,41.316370,-72.908302,3.72
cedarhurst-cafe-new-haven,Cedarhurst Cafe,1,41.303927,-72.924760,4.563218390804598
ricky-ds-rib-shack-new-haven-4,Ricky D's Rib Shack,2,41.322767,-72.929457,4.529411764705882
tarry-lodge-new-haven,Tarry Lodge,3,41.311196,-72.932168,3.7
cask-republic-new-haven,Cask Republic,2,41.305287,-72.927157,3.94
la-cosinita-mexican-cafe-new-haven,La Cosinita Mexican Cafe,1,41.308570,-72.933576,3.9310344827586206
louis-lunch-new-haven,Louis' Lunch,1,41.306483,-72.930334,3.71
ro%C3%ACa-restaurant-and-cafe-new-haven-2,ROA Restaurant and Cafe,3,41.306908,-72.928901,3.92
patricias-restaurant-new-haven,Patricia's Restaurant,1,41.313236,-72.933360,3.8703703703703702
116-crown-new-haven,116 Crown,3,41.304583,-72.926309,3.76
shake-shack-new-haven,Shake Shack,2,41.306815,-72.928502,3.82
york-street-noodle-house-new-haven,York Street Noodle House,1,41.308112,-72.932236,3.42
adrianas-restaurant-and-wine-bar-new-haven,Adriana's Restaurant and Wine Bar,2,41.308144,-72.915198,3.9375
johnny-salamis-new-haven,Johnny Salami's,1,41.293947,-72.921612,4.583333333333333
pho-and-spice-new-haven,Pho & Spice,2,41.304579,-72.925093,3.696629213483146
atelier-florian-new-haven,Atelier Florian,3,41.308606,-72.933181,3.8068181818181817
olea-new-haven-2,Olea,3,41.307338,-72.930724,4.055555555555555
caffe-bravo-new-haven,Caffe Bravo,2,41.322288,-72.911895,3.8846153846153846
pho-ketkeo-new-haven,Pho Ketkeo,2,41.304253,-72.928416,4.15
cviche-181-new-haven,C'viche 181,2,41.306482,-72.923257,4.083333333333333
temple-grill-new-haven,Temple Grill,2,41.305795,-72.927700,3.41
sallys-apizza-new-haven,Sally's Apizza,2,41.303179,-72.920005,3.76
consiglios-new-haven-3,Consiglio's,2,41.302812,-72.916777,3.746031746031746
temple-grill-new-haven,Temple Grill,2,41.305795,-72.927700,3.41
consiglios-new-haven-3,Consiglio's,2,41.302812,-72.916777,3.746031746031746
cviche-181-new-haven,C'viche 181,2,41.306482,-72.923257,4.083333333333333
ay-arepa-new-haven,Ay! Arepa,1,41.301870,-72.933533,4.382978723404255
zafra-cuban-restaurant-and-rum-bar-new-haven-2,Zafra Cuban Restaurant & Rum Bar,2,41.307834,-72.922237,3.78
miyas-sushi-new-haven,Miya's Sushi,2,41.309790,-72.935385,3.64
fryborg-new-haven,Fryborg,1,41.304398,-72.930840,4.166666666666667
east-rock-coffee-new-haven,East Rock Coffee,1,41.319723,-72.913004,4.1923076923076925
geronimo-tequila-bar-and-southwest-grill-new-haven,Geronimo Tequila Bar and Southwest Grill,2,41.306585,-72.930529,3.66
big-green-truck-new-haven,Big Green Truck,2,41.313861,-72.909469,4.894736842105263
bellas-cafe-new-haven,Bella's Cafe,2,41.327070,-72.960155,3.89
archie-moores-bar-and-restaurant-new-haven,Archie Moore's Bar & Restaurant,2,41.321317,-72.910564,3.71
