rid,label
sandras-next-generation-new-haven,Soul Food
sandras-next-generation-new-haven,Southern
sandras-next-generation-new-haven,Chicken Wings
august-new-haven-3,Wine Bars
august-new-haven-3,American (New)
pitaziki-mediterranean-grill-new-haven,Mediterranean
da-legna-new-haven,Pizza
da-legna-new-haven,Italian
da-legna-new-haven,Bars
tikkaway-fresh-indian-grill-new-haven-2,Indian
tikkaway-fresh-indian-grill-new-haven-2,Vegan
tikkaway-fresh-indian-grill-new-haven-2,Gluten-Free
caseus-fromagerie-and-bistro-new-haven,American (New)
caseus-fromagerie-and-bistro-new-haven,Cheese Shops
frank-pepe-pizzeria-napoletana-new-haven,Pizza
frank-pepe-pizzeria-napoletana-new-haven,Italian
crepes-choupette-new-haven-6,Creperies
mecha-noodle-bar-new-haven,Beer Bar
mecha-noodle-bar-new-haven,Wine Bars
mecha-noodle-bar-new-haven,Ramen
junzi-kitchen-new-haven,Chinese
junzi-kitchen-new-haven,Fast Food
junzi-kitchen-new-haven,Asian Fusion
