rid,uid,rating
sandras-next-generation-new-haven,OXghw-vVeN2zdHQS4rgxpA,5.0
sandras-next-generation-new-haven,JMpsaF8Gqy4UvDX3IIHFdA,4.0
sandras-next-generation-new-haven,6wGjjZkbAhcPnorLeh6INg,4.0
sandras-next-generation-new-haven,bnSGkl3tT6nXjuPmDP5lXw,4.0
sandras-next-generation-new-haven,4vLImOqJoeHyPzk8MlWHRw,5.0
sandras-next-generation-new-haven,8FDeCOicvjKbzTytSldIBg,5.0
sandras-next-generation-new-haven,u-rO_1IR1d4xibcYHA4zTg,5.0
sandras-next-generation-new-haven,4xCOziwRynfWt06xp0v6UQ,5.0
sandras-next-generation-new-haven,X7Sqv9nL7X-xDJDSb5ckzA,3.0
sandras-next-generation-new-haven,c78V-rj8NQcQjOI8KP3UEA,5.0
sandras-next-generation-new-haven,H7izxoghB-RSG8HkkNNRbQ,5.0
sandras-next-generation-new-haven,dzXeeCDAZIrF0uVH4cSiSw,4.0
sandras-next-generation-new-haven,j9IwA4W65qRI_oJW-c-0Wg,4.0
sandras-next-generation-new-haven,6jS6HA69mpZaWE_65Q9zGA,5.0
sandras-next-generation-new-haven,sFxl5GB7mXI-NeeIlqbX8A,4.0
sandras-next-generation-new-haven,dP2nr-zMhaFH39JwsQHPGQ,5.0
sandras-next-generation-new-haven,lD5wUfqYf2v62NnS9TOSyA,4.0
sandras-next-generation-new-haven,oeCIKc5BJYL5a7EpfCVa0g,4.0
sandras-next-generation-new-haven,LNEy3W0CQtf-d3oM7gBtdA,5.0
sandras-next-generation-new-haven,MSEFVrDupb-VMi0lVPSZZg,5.0
sandras-next-generation-new-haven,tpVrgJu5J9GcthVCtfgPkA,5.0
sandras-next-generation-new-haven,LVE3bOTviXjgIJE9lMD8dA,4.0
sandras-next-generation-new-haven,4r6nG2VnyCpHkG2KFWjxig,5.0
sandras-next-generation-new-haven,x0hhQu76xa8jiz-SRbk-kQ,5.0
sandras-next-generation-new-haven,39DriHPIjy8ckbhD-Fi0Aw,5.0
sandras-next-generation-new-haven,G_YTZENmNvgGYkJ2_2hjJQ,3.0
sandras-next-generation-new-haven,MRO6Ik6sQ5d34-WqqLZ7uA,4.0
sandras-next-generation-new-haven,t9hGJDuRszAaBOjo9ORkqA,5.0
sandras-next-generation-new-haven,Le3_OwhCfs8ZYbPiCOpopw,3.0
sandras-next-generation-new-haven,hinnS-sGTZd98zZbx515Ag,3.0
sandras-next-generation-new-haven,4jS9BpL3091nv96Mv_01fA,5.0
sandras-next-generation-new-haven,FCn19FmqwufTOO7adVgNgA,5.0
sandras-next-generation-new-haven,DgueWAljaqLs8y9-FbbdKA,5.0
sandras-next-generation-new-haven,VYPjyQxk0hRhf4xlubFN0Q,4.0
sandras-next-generation-new-haven,g-ygenHVN-hWt2ogMHgXwA,4.0
sandras-next-generation-new-haven,Zqmh6Ayeex1Fd1pYHDxr4g,5.0
sandras-next-generation-new-haven,MfSeihxZB3sJryFm4Nym7w,5.0
sandras-next-generation-new-haven,OKSn4mjZ7xVOh7pe-uDGaA,5.0
sandras-next-generation-new-haven,8-sKbfMx5o_du5Hls4RRlQ,5.0
sandras-next-generation-new-haven,9bvlW5Gos1kxzvcM3c-12w,5.0
sandras-next-generation-new-haven,XQBhzqSNuDccieNLvXnQog,5.0
sandras-next-generation-new-haven,3YpnHK8AQbu4ulyEeIRNYQ,5.0
sandras-next-generation-new-haven,zChui6hY-mQeZGAde9deDw,4.0
sandras-next-generation-new-haven,clLjkEOPtYRA1mkNuLow2A,5.0
sandras-next-generation-new-haven,wlUQaIckHG1PVd8ct_qpNQ,5.0
sandras-next-generation-new-haven,RHN-e1XwWjdbdsUUnVSi_Q,2.0
sandras-next-generation-new-haven,FWst3bwhQIEF9K8rWvc4YQ,5.0
sandras-next-generation-new-haven,L0IBmSMZwmJsnw0SrcFx9g,5.0
sandras-next-generation-new-haven,vtuQFLfh2LMZL2T9P2PSKg,5.0
sandras-next-generation-new-haven,wEol5JZ9wbqkpeDK3iwQbA,5.0
sandras-next-generation-new-haven,i8V9xjGRPLjl-Tykom6__A,5.0
sandras-next-generation-new-haven,djil9WbEdcOfh-dZiyDHxA,5.0
sandras-next-generation-new-haven,4z5jrNSoSEt-u_ofbuUL2w,5.0
sandras-next-generation-new-haven,W9lj_1cMLldWEPUdjGZqLQ,5.0
sandras-next-generation-new-haven,SGTolDutDwidybWqOPCkIA,2.0
sandras-next-generation-new-haven,640zymdIC65uoQ3dyvdO6A,5.0
sandras-next-generation-new-haven,0-6PSriU8kJiIrOP7iPelQ,5.0
sandras-next-generation-new-haven,-pbOWdSUCrRHikNsQrDzzg,5.0
sandras-next-generation-new-haven,nFhFzX823L6AOT1SoAXppQ,5.0
sandras-next-generation-new-haven,6MYYMszcDg7pIjaqZ65s_A,5.0
sandras-next-generation-new-haven,sSIhjMtwiTrptHqbEve1Lw,5.0
sandras-next-generation-new-haven,Od5ierSvnTp5O_tGxtKJCA,3.0
sandras-next-generation-new-haven,7vNj4JeYR73EPDlYzZfgMQ,5.0
sandras-next-generation-new-haven,B2py50Efm0WVTvXmqZDTzw,5.0
sandras-next-generation-new-haven,lFlgakS7fsE3y0zSTMoQjw,5.0
sandras-next-generation-new-haven,wcSaDRCr50PnUzpO7mjtgA,5.0
sandras-next-generation-new-haven,9P0ge7g5NqQyIo_QEYuy6w,5.0
sandras-next-generation-new-haven,ROlFwIYm0T7xAVLG3Ckpww,5.0
sandras-next-generation-new-haven,bXHiLQ616hlNzfVyOxvHrQ,4.0
sandras-next-generation-new-haven,FCBcBz4xHWamyfboesXsYA,5.0
sandras-next-generation-new-haven,dBdpVwtueEVB5dpWlVzGiQ,5.0
sandras-next-generation-new-haven,lGGIL-BD97Mxwj9EHohztA,4.0
sandras-next-generation-new-haven,Bc2VYOjdQYJG3wGYJqwasg,5.0
sandras-next-generation-new-haven,NXIH90QLjldggHMDWEEqPA,5.0
sandras-next-generation-new-haven,NuIgNf7rSABI6RRZIh0kPQ,5.0
sandras-next-generation-new-haven,x_HxuIirb2JovYtBE9QzpQ,5.0
sandras-next-generation-new-haven,rJ3pumbOPij3TDdyuHbFkA,5.0
sandras-next-generation-new-haven,ItnKqVdDSNETyvaGu466ww,5.0
sandras-next-generation-new-haven,7S4J5Rt22xGFy_K6TCgoWg,5.0
sandras-next-generation-new-haven,b6u5F_oHPhYHG_HAizJRvQ,4.0
sandras-next-generation-new-haven,a_zzCKUBmh2VZyUdR4fGkQ,5.0
sandras-next-generation-new-haven,29G23Y-FUQsjhgRFVJoGZw,5.0
sandras-next-generation-new-haven,Izb9BdIRYJzNiylaiaY6rA,4.0
sandras-next-generation-new-haven,8D3dIpyCw_5w5Fpm41p2WQ,1.0
sandras-next-generation-new-haven,7KnAOLPFvLjfa0yU0a2-qQ,5.0
sandras-next-generation-new-haven,c_l95U6BTdHyMkm-bHW7Ag,5.0
sandras-next-generation-new-haven,h_a8C32iqMbCPLsYfkIY8Q,4.0
sandras-next-generation-new-haven,-_Ph_Y9mJWNdKqArDxp0lQ,5.0
sandras-next-generation-new-haven,znYAPYFnWsawIbayAuGJeQ,5.0
sandras-next-generation-new-haven,tju94VCJo4FpOUnSH7bx1w,5.0
sandras-next-generation-new-haven,ud_Gm7NBhCjM_fP8Q7EDgA,5.0
sandras-next-generation-new-haven,b4aNqZuU_tgd3Fbnv7CnmA,5.0
sandras-next-generation-new-haven,1IShaKMCWmngq4RwqQPO5w,5.0
sandras-next-generation-new-haven,yqS31E3F3EhU1DzTCUWh1g,4.0
sandras-next-generation-new-haven,pqKJeS-3ZcUNkZyNP83jcg,5.0
sandras-next-generation-new-haven,gtGTl0r6yqYnS4I_l2MZBA,5.0
sandras-next-generation-new-haven,Zcs1n2Kn4GtOY0SqjDppZA,4.0
sandras-next-generation-new-haven,RTDlc2W4UFrJ4wfZAl5xmQ,5.0
sandras-next-generation-new-haven,EO73y_Xj0X1Sd8VitAZvyA,1.0
sandras-next-generation-new-haven,cYRLLRBEp2tjzAtKRLqnRw,4.0
august-new-haven-3,gKRObL4Ec1PDWGr_X0ibiQ,5.0
august-new-haven-3,rCTch_d6tieSpABAH-x50g,4.0
august-new-haven-3,qsHzI829rRUhQ_pCyqgfpA,5.0
august-new-haven-3,Ee7Ir5wB6mO3J8EafCKybg,4.0
august-new-haven-3,7AU-PWNQ4oz_cnU5FvZq_w,5.0
august-new-haven-3,Zo6L1uwCDFH4rPe-scnVGg,5.0
august-new-haven-3,6lAixi-sxfvJgxXibnOx2w,5.0
august-new-haven-3,ypOkmdi7ldmzh6lyplQTyA,5.0
august-new-haven-3,ZsfYy1RTtL5HDDYppp0uhA,5.0
august-new-haven-3,ki62Gxu6J8rgLyKZTPyffQ,5.0
august-new-haven-3,XrlYaTPoZTpi-iluryFNcg,5.0
august-new-haven-3,JsP3FcvZanY1fwzi-lyECA,5.0
august-new-haven-3,fVQZsOQy1p1BthYu9TaVFg,5.0
august-new-haven-3,zWCCqajK9iVftpjrIVAwMw,5.0
august-new-haven-3,CiRktb4XmeJK-N1cLokLFA,5.0
august-new-haven-3,3W9EDMJNfla-9Lpa0elwRQ,5.0
august-new-haven-3,AVD9A5el-RRS8CEwxmmo_Q,5.0
august-new-haven-3,PZ2PQDnPvj67i6U0K3DvWw,5.0
august-new-haven-3,lkhB-QT-wQq5dFr705Oi0A,5.0
august-new-haven-3,9aZBAsiaMtunaz6hD_8U7A,5.0
august-new-haven-3,-h7f0PT6PqGda36Y62uvuw,5.0
august-new-haven-3,QdhGaYrzNIVDt9_538QROg,3.0
august-new-haven-3,aOo-6pywVh3bFJqjOWCVjw,3.0
august-new-haven-3,BqiSzqjDhfA_bGEQjBpGQg,5.0
august-new-haven-3,rVcf7WmwLeH20-wnr8y8Tw,4.0
august-new-haven-3,Yb_QnILIGskGKkQ82pRhxQ,5.0
august-new-haven-3,rOgpczR9it1ux8__yvo5dw,5.0
august-new-haven-3,oXp0KYtT6qARxggumUFtPg,5.0
august-new-haven-3,Udly52eK1AcmWUVdemKFqg,5.0
august-new-haven-3,8lfGrraTOs1gPB9D4PidCw,5.0
august-new-haven-3,3NBRxhitpdC2P6dGjI-5Lw,1.0
august-new-haven-3,IgoJgvHuvwvyyxKmlcDvIQ,5.0
august-new-haven-3,lOWYHoH9-0i5hECcODkZTg,4.0
august-new-haven-3,c0gWMTia4B4Z-jJk3pNRPA,5.0
august-new-haven-3,reCQHQWnl31ggUx7-8k0Wg,5.0
august-new-haven-3,9qSNf8YBfA2Vdt_ikm1nkw,5.0
august-new-haven-3,KLF6SeSPyqJzj434FQtatw,5.0
august-new-haven-3,WA9fjdFYyWon5ecMRUrJRg,5.0
august-new-haven-3,m_atE5-LI50Il2Gu9l1x2g,5.0
august-new-haven-3,vVYYrc3KsL_2yEcNX5-GNA,5.0
august-new-haven-3,lJFVyTqQ94HCODdyz5VR9Q,3.0
august-new-haven-3,R0tylnA4vH0m5wpauIJ-_g,5.0
august-new-haven-3,KTVdi_7w9ulEFvdXk8A4-g,5.0
august-new-haven-3,0k1t63SSerK6zM_EOPfBdA,5.0
august-new-haven-3,_73qw3jzgEiHXYNxCqMS9A,5.0
august-new-haven-3,meyqqUbxMGt9mT5OZQX2iA,5.0
august-new-haven-3,czYItnkPzW94RQA5RpU7Kg,5.0
august-new-haven-3,R-UFqItV5URwqlbH9dAc-w,5.0
august-new-haven-3,YWyH1AlRe0KItvnQB6RDFQ,5.0
august-new-haven-3,iJBbHPFjQyQXAhxtxBCh2Q,5.0
august-new-haven-3,gyDHwy25TRvxCDyT_n-3lw,5.0
august-new-haven-3,-6rHAQD7cuWVAVPE1ClIOw,4.0
august-new-haven-3,6XaYUdM7bsEZUkP9BXEHhQ,3.0
august-new-haven-3,j3pVBjxNlwz72QPiSgJ2PQ,4.0
august-new-haven-3,XWIt6xpdahpDND5uTg2iVQ,5.0
august-new-haven-3,NrSYQ7o7pAptD8Tjwspvnw,5.0
august-new-haven-3,_SRHHcqbMWwum2QgGW5eew,5.0
august-new-haven-3,ULG0O72v_tjKvKFAgdMoaA,2.0
august-new-haven-3,J4oFgnoIhuXRDFSLyHQWsw,4.0
august-new-haven-3,Kp4anTvL9Ym8F6dAmaCD9A,5.0
august-new-haven-3,Z03gcDb1bVT2K_lJY-54EQ,5.0
august-new-haven-3,wJeCuIoX53QDFlJr1artww,5.0
august-new-haven-3,7s6vuyAx5hPvABv70demJw,4.0
august-new-haven-3,Rf6aiS-w3kNCA5UWjI1ojg,5.0
august-new-haven-3,H8htDXto8LMgvo8bRLvxog,2.0
august-new-haven-3,gcZywmhd5sii-H3AYZSj2Q,4.0
august-new-haven-3,DH9TJ2r6i9sjZaAz13eijA,5.0
august-new-haven-3,d1yHXwZv3okklIOaeowmcg,5.0
august-new-haven-3,d0hVLx45fmlUI-4YtKqC6A,5.0
august-new-haven-3,AsEW9U809_h4p-5_Bgw-oA,4.0
august-new-haven-3,88rzFDUyIYkgzM4so1l4DQ,5.0
august-new-haven-3,qjQU2N2a80QPBePERF4h-A,5.0
august-new-haven-3,VtpaNSeVUTJCz0QcZUkNKg,5.0
august-new-haven-3,VEgMc0Jat_HMTrnQ3ZWnEw,4.0
august-new-haven-3,W-d0SujB_JY5HNaRxXdjFA,5.0
august-new-haven-3,8rxPUGWWBUYFpaPLBga24A,5.0
august-new-haven-3,aLC6Jm4ldnz7T22LpuOFlQ,5.0
august-new-haven-3,nMtafhBNI-I5roTAj6T6tA,5.0
august-new-haven-3,Nb8_Ggk3mnoGgO0n2hYmgA,2.0
august-new-haven-3,XyDl4tc9KgS-AHNxxUiJHA,5.0
august-new-haven-3,jGsSeW0BtqCzRIsED0WskA,5.0
august-new-haven-3,JqLsBrMwnWXLNsiXfCGfvw,5.0
august-new-haven-3,XVH7L4xaPa9WfaJlyMZVug,5.0
august-new-haven-3,cEl0Ff08ujITYCrV650V6g,5.0
august-new-haven-3,lm--2Ah7jG4RJtz0m07T2g,5.0
august-new-haven-3,dFbwV0LSX8pkEInp3d_ajg,5.0
august-new-haven-3,D_cgjLo5E19_6244Fjlvpg,5.0
august-new-haven-3,pSLDGfxnvzfBQsw98TTcRQ,5.0
august-new-haven-3,MM2C5qvgb6xH47BxtfQW3w,5.0
august-new-haven-3,D-l7rhmxpvqlauOImXEBlw,5.0
august-new-haven-3,GZlgdd-gV6MT4Z_T2TthGA,5.0
pitaziki-mediterranean-grill-new-haven,Xpk4Lj99kxRv-cEz__N6qw,5.0
pitaziki-mediterranean-grill-new-haven,3ASJwqI9mKo6kw7CEdqYow,5.0
pitaziki-mediterranean-grill-new-haven,G_ewrDXcU0hXovihr2G5og,5.0
pitaziki-mediterranean-grill-new-haven,CmWwqfuSqrdQJZJTKK8cGg,5.0
pitaziki-mediterranean-grill-new-haven,FBAn7Ep6qpFLCIjYS29pvg,5.0
pitaziki-mediterranean-grill-new-haven,oeCIKc5BJYL5a7EpfCVa0g,2.0
pitaziki-mediterranean-grill-new-haven,Qb1k5TNXvh_JNLE1p75nUA,3.0
pitaziki-mediterranean-grill-new-haven,edCSghKSdBywxRyFySdvOw,5.0
pitaziki-mediterranean-grill-new-haven,wwfoZk9dDOSpcMAmPBSvYg,4.0
pitaziki-mediterranean-grill-new-haven,M6bvgVUkyNBgrc7XKzRXqA,5.0
pitaziki-mediterranean-grill-new-haven,BeiZYoULdJv9-fZ5ZvukYA,5.0
pitaziki-mediterranean-grill-new-haven,kWcRh6-lRhxMHa97K8sbQg,5.0
pitaziki-mediterranean-grill-new-haven,b4bTb4D4-2V1BU6qarzpQw,5.0
pitaziki-mediterranean-grill-new-haven,eah3yMykSkNUZ93KuDnxYw,4.0
pitaziki-mediterranean-grill-new-haven,IyOWm9_dod0UiXRzPdgaew,5.0
pitaziki-mediterranean-grill-new-haven,Y1LcjGy6oiBmlCzm717QSA,5.0
pitaziki-mediterranean-grill-new-haven,igQZEzMUCSQz3jhoIG_a0Q,5.0
pitaziki-mediterranean-grill-new-haven,CSa9CnMNJzrP2KSpl3MqIA,1.0
pitaziki-mediterranean-grill-new-haven,jerm1I9XEDhwyr-pFxtYvQ,5.0
pitaziki-mediterranean-grill-new-haven,DPcyPKu958q1fSz1BmtMpA,5.0
pitaziki-mediterranean-grill-new-haven,LXoudyC0Imcw6ThovE8-8w,4.0
pitaziki-mediterranean-grill-new-haven,CCofq3qpvTCbVAuu9eUp6g,5.0
pitaziki-mediterranean-grill-new-haven,VqQuU8Ccu43KZvlI5eaNaA,5.0
pitaziki-mediterranean-grill-new-haven,zt8g-2f_Nzyvji2WUFSLsQ,5.0
pitaziki-mediterranean-grill-new-haven,GKXOc9JFx9oBYKFB34uc3A,5.0
pitaziki-mediterranean-grill-new-haven,DujBrTJ0Nlo5BkH-x7OMhQ,5.0
pitaziki-mediterranean-grill-new-haven,ElDfk_42hMdjU_weLWRKtA,5.0
pitaziki-mediterranean-grill-new-haven,or3j--AxibHY95ymtSKSIA,5.0
pitaziki-mediterranean-grill-new-haven,tMYF6UUk1d-dNimBsAAJXQ,5.0
pitaziki-mediterranean-grill-new-haven,kC8cUxi3mZWHkAKeP_yW2Q,5.0
